talkid,speaker,title,GENDER (M/F/X)
__HDA25Fz-E,Matatea CHANGUY,"S’accepter tel que l’on est, ça ressemble à quoi ? | Matatea CHANGUY | TEDxPapeete",F
_6I0vMv7KpE,Ariane TICHIT,Nos fausses idées sur la monnaie | Ariane TICHIT | TEDxClermont,F
_b-SGnCh-OQ,Denise Pericard-Méa,L'Histoire se construit sur les chemins | Denise Pericard-Méa | TEDxTours,F
_cbTg8_5AY4,Manuela BRAUD,HISTOIRES DE VIE DE FEMMES ET RÉSILIENCE | Manuela BRAUD | TEDxIleDeNantes,F
_IwdBga13gE,Claire-Marie De Bellecombe,Un miel haute couture | Claire-Marie De Bellecombe | TEDxISTEC,F
_oGJ6GPfu_U,Nadine Pellen,"La mucoviscidose, hasard, coïncidence, ou prédestination ? | Nadine Pellen | TEDxUBO",F
_QYhmDy6oWg,Clarisse Gratecap,Se relever après un traumatisme | Clarisse Gratecap | TEDxParisDescartes,F
_UbqXO9h4bo,Isabelle Goudé,Faire face à la critique: mode d'emploi | Isabelle Goudé | TEDxSaclay,F
09UU0I9gLNc,Alice MODOLO,Invitation à une plongée immersive en apnée | Alice MODOLO | TEDxClermont,F
0f3osSBA9-c,Isabelle CALMELS,L'ocytocine ou le secret des humains | Isabelle CALMELS | TEDxAnnecy,F
0mKrYNd7cA0,Camille Duband,Bouleversons les cases par la simplicité du regard | Camille Duband | TEDxRennesSalon,F
0u7tTptBo9I,Lamya Essemlali,"L’Océan et l’Humanité, destins liés ! | Lamya Essemlali | TEDxOrléans",F
16MWHwqz0mQ,Orianne Duprat-Briou,Comment dépasser le sens des mots pour s'exprimer ? | Orianne Duprat-Briou | TEDxCannes,F
1dIuZE7Rb5g,Cécilia DURIEU,Le flex office 2.0 | Cécilia DURIEU | TEDxÉcoleCentraleLyon,F
1NouMh5stVA,Maria Cuche-Christian,Le Chant de la vie - Est-ce la limite? | Maria Cuche-Christian | TEDxAlsace,F
1wYku4ugJGs,Noémie Schlachter,Héros toi-même | Noémie Schlachter | TEDxOrléans,F
2CJq72yNjI8,Claire Prigent,"Femme fatale, y'a pas mort d'homme - 2016 | Claire Prigent | TEDxCelsa",F
2EWQZDY0e10,Léonore DE ROQUEFEUIL,L'engagement citoyen à l'ère du numérique | Léonore DE ROQUEFEUIL | TEDxLIleSaintDenis,F
2HVGzJpyN2Q,Lilou Macé,Le courage d'être soi | Lilou Macé | TEDxÉcolePolytechnique,F
2lVsOg3xr6Q,Leslie COUTTERAND,Redéfinir le succès dans une société qui a besoin de nous | Leslie COUTTERAND | TEDxLimoges,F
2OOJgYrp3H4,Mathilde Vera,"Le voyage pour découvrir du monde, le retour pour construire l’avenir | Mathilde Vera | TEDxRéunion",F
2sYbTLO5fwg,Hélène Michel,(Remettons) le monde en jeu | Hélène Michel | TEDxIssylesMoulineaux,F
3_etvXfteF4,Marie-Elise Gbedo,Du roseau et du baobab | Marie-Elise Gbedo | TEDxAkpakpa,F
33lkY7P8CuE,Aurélie Jarniat Filliger,Ma première transformation numérique | Aurélie Jarniat Filliger | TEDxUSMBAnnecy,F
3rNLvNS_hOw,Fanny AGOSTINI,"2 degrés, c’est beaucoup | Fanny AGOSTINI | TEDxClermont",F
40tV27vA4i4,Juliette Perchais,How to save education?  | Juliette Perchais | TEDxYouth@CoursMirabeau,F
440CbeOMdIs,Abnousse Shalmani,"La France, pays de l’égalité ? | Abnousse Shalmani | TEDxParis",F
47wjXiohWSQ,Karoline Morissette,La somme de ce que nous sommes | Karoline Morissette | TEDxQuébec,F
4f5VnLzOP-c,Marie Bodet & Caroline Gosselin,Sentir ce qui se vit en moi : Une clé pour ma santé | Marie Bodet & Caroline Gosselin | TEDxLaBaule,F
4hmPpzsaDpQ,Sarah Thierrée,Nos armes pour guérir les traumatismes des enfants Syriens | Sarah Thierrée | TEDxTours,F
4LAaKt9BUds,Emily DESTAILLEUR CAMBIER,"Le sport, demain j’arrête ! | Emily DESTAILLEUR CAMBIER | TEDxAnnecy",F
4pww5TPSZoE,Vaea Billy,"Sourds-muets, comprendre le monde du silence | Vaea Billy | TEDxPapeete",F
4x3FiPs9_6Q,Anna Stepanoff,Peut-on apprendre autrement ? | Anna Stepanoff | TEDxOrléans,F
5CFfgJkks2A,Faustine Zanetta-Monti,Envie d'entreprendre ? Faites le Pélican ! | Faustine Zanetta-Monti | TEDxCannes,F
5gNzCBes2lQ,Isabelle Lasserre,Ne jamais se résigner - Est-ce la limite? | Isabelle Lasserre | TEDxAlsace,F
5i04CnhKpAw,Nozha Boujemaa,Créer une Intelligence Artificielle de confiance est l'affaire de tous | Nozha Boujemaa | TEDxSaclay,F
5jzLR0F4i54,Noémie de Lattre,Un autre monde en d'autres mots | Noémie de Lattre | TEDxUniGeneva,F
5OAaHpG1fUI,Laurence Houdeville,"Le rêve, source inépuisable d'optimisme - 2016 | Laurence Houdeville | TEDxCelsa",F
5tE0N_zRW9w,Sophie Vannier,Et si on parlait d'engagement ? | Sophie Vannier | TEDxUniversitéParisDauphine,F
5V84Sr9qkYg,Céline Lazorthes,Emportée par la foule | Céline Lazorthes | TEDxMarseille,F
5Wj9bNQbLBI,Joana Revis,"Votre voix, c'est vous | Joana Revis | TEDxCannes",F
6a4P_1MMmZM,Faouzia Charfi,How to accept and teach the keys to universal knowledge? | Faouzia Charfi | TEDxCannes,F
6fmWo-znXVM,Pascale RIBON,Et si gentillesse et bienveillance rimaient avec performance collective | Pascale RIBON | TEDxSaclay,F
6gYcVY5NYuE,Pauline MAISONNASSE,"On Va Tous Mourir, Mais Pas Trop, Mais un Peu Quand-même… | Pauline MAISONNASSE | TEDxSaclay",F
6IhhYAqI1do,CATHERINE SCHMIDER,Une éducation bienveillante pour un monde plus humain | CATHERINE SCHMIDER | TEDxCanebière,F
6lBFWkQ5x10,Rebecca Sfedj,"N'attendez pas votre place, créez-la! | Rebecca Sfedj | TEDxEMLYON",F
6nf0pZcTR-4,Eva Lartigau,L’animal et moi : maître ou gardien ? | Eva Lartigau | TEDxNarbonne,F
6pBxUTjhX8o,Marion ETIFIER,Les Vacances REVI | Marion ETIFIER | TEDxFortdeFrance,F
6SwCutBpOmA,Dominique de Saint Mars,Comprendre les émotions d'un enfant | Dominique de Saint Mars | TEDxIESEGLille,F
6u0lMlvJgeY,Neila Benzina,La démocratie digitale : quelle gouvernance ? | Neila Benzina | TEDxCarthage,F
7_oPTbXKeyk,Laurie-Anne SAPEY-TRIOMPHE,Le spectre de nos différences | Laurie-Anne SAPEY-TRIOMPHE | TEDxValenciennes,F
7B1x8_dI6Mc,Josiane Martini,Quand les ânes se mettent en route | Josiane Martini | TEDxGeneva,F
